"Datetime","DP_T","DP1","DP2","DP3","DP4","P_A","T_T","T1","T2","T3","T4","T_A"
"2017-12-13 14:26:03","-252.67","-252.67","-136.94","-136.94","-368.40","-34277.32","-273.15","18.98","18.84","-273.15","18.43","18.78"
"2017-12-13 14:26:08","-252.67","-136.94","-252.67","-136.94","-368.40","-34161.60","-273.15","19.00","18.83","-273.15","18.44","18.78"
"2017-12-13 14:26:13","-252.67","-252.67","-252.67","-136.94","-368.40","-34277.32","-273.15","19.00","18.83","-273.15","18.44","18.79"
"2017-12-13 14:26:18","-136.94","-368.40","-136.94","-252.67","-252.67","-34277.32","-273.15","18.99","18.81","-273.15","18.47","18.76"
"2017-12-13 14:26:23","-252.67","-252.67","-252.67","-136.94","-368.40","-34161.60","-273.15","19.00","18.82","-273.15","18.42","18.76"
"2017-12-13 14:26:28","-252.67","-252.67","-252.67","-136.94","-368.40","-34277.32","-273.15","19.00","18.82","-273.15","18.45","18.76"
"2017-12-13 14:26:33","-252.67","-252.67","-252.67","-136.94","-484.13","-34161.60","-273.15","19.00","18.82","-273.15","18.43","18.76"
"2017-12-13 14:26:38","-252.67","-252.67","-252.67","-136.94","-368.40","-34161.60","-273.15","19.00","18.82","-273.15","18.44","18.75"
"2017-12-13 14:26:42","-368.40","-252.67","-252.67","-136.94","-368.40","-34161.60","-273.15","18.99","18.79","-273.15","18.45","18.74"
"2017-12-13 14:26:47","-252.67","-252.67","-136.94","-136.94","-368.40","-34161.60","-273.15","19.00","18.79","-273.15","18.46","18.74"
"2017-12-13 14:26:52","-252.67","-252.67","-136.94","-136.94","-252.67","-34277.32","-273.15","18.99","18.76","-273.15","18.47","18.76"
"2017-12-13 14:26:57","-252.67","-252.67","-136.94","-136.94","-252.67","-34277.32","-273.15","18.97","18.77","-273.15","18.48","18.74"
"2017-12-13 14:27:02","-252.67","-252.67","-252.67","-252.67","-368.40","-34277.32","-273.15","19.00","18.78","-273.15","18.47","18.74"
"2017-12-13 14:27:07","-252.67","-252.67","-252.67","-136.94","-368.40","-34277.32","-273.15","18.99","18.81","-273.15","18.47","18.78"
"2017-12-13 14:27:12","-252.67","-252.67","-136.94","-136.94","-368.40","-34277.32","-273.15","19.00","18.87","-273.15","18.46","18.79"
"2017-12-13 14:27:18","-252.67","-368.40","-252.67","-136.94","-368.40","-34277.32","-273.15","19.00","18.84","-273.15","18.47","18.80"
"2017-12-13 14:27:23","-252.67","-252.67","-136.94","-136.94","-484.13","-34161.60","-273.15","18.98","18.81","-273.15","18.47","18.76"
"2017-12-13 14:27:28","-252.67","-252.67","-136.94","-136.94","-368.40","-34277.32","-273.15","18.97","18.79","-273.15","18.47","18.74"
"2017-12-13 14:27:33","-252.67","-252.67","-252.67","-136.94","-368.40","-34277.32","-273.15","18.98","18.81","-273.15","18.47","18.77"
"2017-12-13 14:27:38","-368.40","-252.67","-252.67","-136.94","-368.40","-34277.32","-273.15","19.00","18.81","-273.15","18.46","18.78"
"2017-12-13 14:27:43","-252.67","-368.40","-136.94","-136.94","-368.40","-34277.32","-273.15","18.98","18.81","-273.15","18.46","18.75"
"2017-12-13 14:27:48","-368.40","-252.67","-252.67","-252.67","-368.40","-34161.60","-273.15","18.95","18.78","-273.15","18.47","18.75"
"2017-12-13 14:27:53","-252.67","-368.40","-136.94","-136.94","-252.67","-34161.60","-273.15","18.93","18.77","-273.15","18.46","18.74"
"2017-12-13 14:27:58","-252.67","-252.67","-252.67","-136.94","-368.40","-34277.32","-273.15","18.97","18.78","-273.15","18.47","18.74"
"2017-12-13 14:28:03","-252.67","-252.67","-136.94","-136.94","-368.40","-34277.32","-273.15","18.97","18.75","-273.15","18.44","18.71"
"2017-12-13 14:28:08","-252.67","-252.67","-136.94","-136.94","-368.40","-34161.60","-273.15","18.92","18.75","-273.15","18.46","18.70"
"2017-12-13 14:28:13","-252.67","-252.67","-252.67","-136.94","-368.40","-34277.32","-273.15","18.91","18.75","-273.15","18.44","18.71"
