"Datetime","DP_T","DP1","DP2","DP3","DP4","P_A","T_T","T1","T2","T3","T4","TA"
"2017-12-12 13:31:14.234139","-368.40","-368.40","-252.67","-136.94","-252.67","-47470.56","19.57","19.87","19.91","19.70","19.80","19.70"
"2017-12-12 13:31:19.259919","-252.67","-252.67","-136.94","-136.94","-368.40","-47354.83","19.54","19.88","19.89","19.70","19.79","19.69"
"2017-12-12 13:31:24.289197","-252.67","-252.67","-252.67","-136.94","-252.67","-47470.56","19.58","19.87","19.93","19.70","19.79","19.69"
"2017-12-12 13:31:29.318589","-368.40","-252.67","-252.67","-136.94","-484.13","-47470.56","19.54","19.88","19.88","19.70","19.79","19.68"
"2017-12-12 13:31:34.348216","-252.67","-136.94","-252.67","-136.94","-368.40","-47354.83","19.54","19.88","19.88","19.70","19.79","19.66"
"2017-12-12 13:31:39.377704","-368.40","-368.40","-136.94","-136.94","-252.67","-47354.83","19.57","19.88","19.88","19.70","19.79","19.69"
"2017-12-12 13:31:44.403408","-136.94","-252.67","-252.67","-136.94","-252.67","-47470.56","19.53","19.87","19.88","19.70","19.79","19.69"
"2017-12-12 13:31:48.826776","-252.67","-252.67","-252.67","-136.94","-252.67","-47470.56","19.56","19.89","19.91","19.70","19.79","19.67"
"2017-12-12 13:31:53.855913","-252.67","-252.67","-136.94","-136.94","-368.40","-47470.56","19.58","19.87","19.91","19.70","19.80","19.68"
"2017-12-12 13:31:58.883687","-252.67","-252.67","-136.94","-252.67","-252.67","-47354.83","19.57","19.87","19.93","19.70","19.79","19.69"
"2017-12-12 13:32:03.911222","-368.40","-252.67","-252.67","-136.94","-252.67","-47470.56","19.56","19.88","19.89","19.70","19.79","19.69"
"2017-12-12 13:32:08.940996","-136.94","-368.40","-136.94","-252.67","-252.67","-47470.56","19.53","19.87","19.89","19.70","19.79","19.71"
"2017-12-12 13:32:13.970334","-252.67","-368.40","-136.94","-136.94","-368.40","-47470.56","19.56","19.88","19.87","19.70","19.79","19.70"
